source_site,listing_id,listing_url,title,purchase_price,suburb,city,province,property_type,bedrooms,bathrooms,parking_spaces,garage,floor_area_sqm,land_area_sqm,levies,rates_taxes,description,listing_date,scraped_timestamp,pp_transaction_slug,pp_province_slug,pp_metro_slug,pp_city_slug,pp_suburb_slug,purchase_price_Rands
privateproperty,T5240080,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandton-central/0004-the-leonardo/75-maude-street/T5240080,1 Bedroom Apartment in Sandton Central,49000000.0,Sandton Central,Sandton,Gauteng,Apartment,1.0,2.0,2.0,2.0,,,8850.0,1850.0,"1 Bedroom Apartment in Sandton Central, 4 the leonardo, 75 maude street, Own the Ultimate Address in Africa The Leonardo, Sandton Step into the height of luxury at The Leo",22 Sep 2025,2026-03-27T16:15:41.143942+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandton-central,4900000.0
privateproperty,T5145343,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/rosebank-and-parktown/rosebank/618-the-tyrwhitt/20-tyrwhitt-avenue/T5145343,2 Bedroom Apartment in Rosebank,39100000.0,Rosebank,Rosebank And Parktown,Gauteng,Apartment,2.0,2.5,2.0,,80.5,80.0,2878.6349999999998,2090.0,"2 Bedroom Apartment in Rosebank, 618 the tyrwhitt, 20 tyrwhitt avenue, Unmatchable west-side view, Furnished, 2 bed, 2.5 bath, pet friendly with 100 back-up power. PRICE",9 Jul 2025,2026-03-27T16:15:36.822623+00:00,for-sale,gauteng,johannesburg-metro,rosebank-and-parktown,rosebank,3910000.0
privateproperty,T5415503,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/hyde-park/1-ss-the-grande/79-6th-road/T5415503,2 Bedroom Apartment in Hyde Park,35000000.0,Hyde Park,Sandton,Gauteng,Apartment,2.0,2.5,2.0,,,,5210.0,2752.0,"2 Bedroom Apartment in Hyde Park, 1 ss the grande, 79 6th road, 2 Bedroom Luxury Apartment Experience refined living in this elegant two-bedroom luxury apartment a",6 Mar 2026,2026-03-27T16:15:33.593183+00:00,for-sale,gauteng,johannesburg-metro,sandton,hyde-park,3500000.0
privateproperty,T4811713,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/morningside/110-the-odyssey/164-rivonia-road/T4811713,2 Bedroom Apartment in Morningside,31000000.0,Morningside,Sandton,Gauteng,Apartment,2.0,2.0,,,,,4700.0,2960.0,"2 Bedroom Apartment in Morningside, 110 the odyssey, 164 rivonia road, Presenting a lucrative investment opportunity in the heart of Morningside-10 stunning apartment opti",4 Oct 2024,2026-03-27T16:15:29.862054+00:00,for-sale,gauteng,johannesburg-metro,sandton,morningside,3100000.0
privateproperty,T5322203,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/rosebank-and-parktown/rosebank/1104-the-median/23-cradock-avenue/T5322203,1 Bedroom Apartment in Rosebank,24100000.0,Rosebank,Rosebank And Parktown,Gauteng,Apartment,1.0,1.0,1.0,,45.1,45.0,2878.6349999999998,2090.0,"1 Bedroom Apartment in Rosebank, 1104 the median, 23 cradock avenue, 14-Storey Apartment Building in the centre of Rosebank. Buy-to-let & AirBnB opportunity. Buy-To-Let",2 Dec 2025,2026-03-27T16:15:25.700670+00:00,for-sale,gauteng,johannesburg-metro,rosebank-and-parktown,rosebank,2410000.0
privateproperty,T3058175,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/midrand/waterfall-estate/9-kikuyu-nb/9-pretoria-main-road/T3058175,3 Bedroom Apartment in Waterfall Estate,18990000.0,Waterfall Estate,Midrand,Gauteng,Apartment,3.0,2.0,2.0,,114.0,,2145.0,1232.0,"3 Bedroom Apartment in Waterfall Estate, 9 kikuyu-nb, 9 pretoria main road, A classic lifestyle estate located in JOHANNESBURGs beautiful Waterfall area, each of The Kikuyu''s",2 Mar 2026,2026-03-27T16:15:22.514468+00:00,for-sale,gauteng,johannesburg-metro,midrand,waterfall-estate,1899000.0
privateproperty,T5271244,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/rosebank-and-parktown/rosebank/43-the-galleries/39-sturdee-avenue/T5271244,1 Bedroom Apartment in Rosebank,15000000.0,Rosebank,Rosebank And Parktown,Gauteng,Apartment,1.0,1.0,1.0,,50.0,50.0,2878.6349999999998,2090.0,"1 Bedroom Apartment in Rosebank, 43 the galleries, 39 sturdee avenue, Located in the upmarket The Galleries complex in Rosebank, this modern first-floor unit offers secur",17 Oct 2025,2026-03-27T16:15:18.760179+00:00,for-sale,gauteng,johannesburg-metro,rosebank-and-parktown,rosebank,1500000.0
privateproperty,T12152,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandton-central/108-sandhurst-towers/35-fredman-drive/T12152,1 Bedroom Apartment in Sandton Central,11000000.0,Sandton Central,Sandton,Gauteng,Apartment,1.0,1.0,1.0,,58.0,,7963.285714285715,1890.0,"1 Bedroom Apartment in Sandton Central, 108 sandhurst towers, 35 fredman drive, Super central and the perfect lock-up-and-go! Sandhurst Towers, this neat and comfortably furnished",16 Jan 2026,2026-03-27T16:15:14.499109+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandton-central,1100000.0
privateproperty,T4881368,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandton-central/1001-blackbrick-two/22-fredman-drive/T4881368,Studio Apartment in Sandton Central,10500000.0,Sandton Central,Sandton,Gauteng,Apartment,0.5,1.0,1.0,,21.0,,7963.285714285715,1890.0,"Studio Apartment in Sandton Central, 1001 blackbrick two, 22 fredman drive, Unreal Guaranteed Investment! Monthly rental income Guaranteed! Limited opportunities available! Bl",26 Nov 2024,2026-03-27T16:15:10.335558+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandton-central,1050000.0
privateproperty,T5314017,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/johannesburg-south/ormonde/124-typhoon-street/T5314017,2 Bedroom Apartment in Ormonde,7000000.0,Ormonde,Johannesburg South,Gauteng,Apartment,2.0,1.0,1.0,,49.0,,671.0,949.1418918918919,"2 Bedroom Apartment in Ormonde, 124 typhoon street, Modern 2-Bedroom Apartment for Sale in Ormonde Discover comfort and convenience in this well-mainta",23 Nov 2025,2026-03-27T16:14:54.179577+00:00,for-sale,gauteng,johannesburg-metro,johannesburg-south,ormonde,700000.0
privateproperty,T4874276,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandton-central/01b-the-leonardo/75-maude-street/T4874276,3 Bedroom Apartment in Sandton Central,165000000.0,Sandton Central,Sandton,Gauteng,Apartment,3.0,4.0,2.0,2.0,,6.0,8540.0,5950.0,"3 Bedroom Apartment in Sandton Central, 1b the leonardo, 75 maude street, Experience unmatched luxury and space with our three-bedroom residence at The Leonardo an iconic ad",20 Nov 2024,2026-03-27T16:14:50.430762+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandton-central,16500000.0
privateproperty,T4191941,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandown/229-the-leonardo/75-maude-street-sandton-street/T4191941,2 Bedroom Apartment in Sandown,115000000.0,Sandown,Sandton,Gauteng,Apartment,2.0,3.0,2.0,2.0,,6.0,13800.0,4500.0,"2 Bedroom Apartment in Sandown, 229 the leonardo, 75 maude street sandton street, Located in the heart of Africas Richest Square Mile, the Leonardo Stands Tall in the Sandton skyline",30 May 2023,2026-03-27T16:14:47.670483+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandown,11500000.0
privateproperty,T4191984,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandown/230-the-leonardo/75-maude-street-sandton-street/T4191984,2 Bedroom Apartment in Sandown,89500000.0,Sandown,Sandton,Gauteng,Apartment,2.0,3.0,2.0,2.0,,6.0,13000.0,4500.0,"2 Bedroom Apartment in Sandown, 230 the leonardo, 75 maude street sandton street, Located in the heart of Africas Richest Square Mile, the Leonardo Stands Tall in the Sandton skyline",30 May 2023,2026-03-27T16:14:44.088806+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandown,8950000.0
privateproperty,T4874600,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg-metro/sandton/sandton-central/01f-the-leonardo/75-maude-street/T4874600,1 Bedroom Apartment in Sandton Central,68000000.0,Sandton Central,Sandton,Gauteng,Apartment,1.0,2.0,2.0,2.0,,6.0,7700.0,1890.0,"1 Bedroom Apartment in Sandton Central, 1f the leonardo, 75 maude street, Step into the ultimate lifestyle with our one-bedroom residence at The Leonardo where every detail",20 Nov 2024,2026-03-27T16:14:40.036018+00:00,for-sale,gauteng,johannesburg-metro,sandton,sandton-central,6800000.0
